Title,Date,Article_content,type
President should be fined for alarming Dengue situation: PHU,"2017-07-25 16:04:46							6						 				4099","The Pivithuru Hela Urumaya (PHU) said today as the head of state, President Maithripala Sirisena should be fined for the increasing number of Dengue breeding grounds in the country.Addressing a news conference, PHU General Secretary MP Udaya Gammanpila said the government took legal action against those who failed to clear Dengue breeding grounds.�If house and factory owners and school principals are fined for having Dengue breeding grounds at their premises, then who else should be fined for having Dengue breeding grounds in the country other than the president himself? We hereby call for the government to declare a state of emergency as it has failed to control the epidemic for over three months,� he said.Meanwhile, MP Gammanpila said the government should divert its attention to Ayurvedic medicine to treat Dengue patients.�Western medicine cannot treat Dengue, but Ayurvedic medicine can. I am aware of Dengue patients who were cured from Ayurvedic treatment. The lives of hundreds and thousands of Dengue patients could be saved with Ayurvedic treatment,� he said. (By Lahiru Pothmulla)",dengue
SL�s tourism industry  feels the sting,"2017-07-25 00:16:54							0						 				2328","The prevailing situation regarding dengue in Sri Lanka will definitely have an effect on Sri Lanka�s tourism industry. The island attracts visitors from other countries by virtue of its biodiversity and strategic location. When examining the impact on the tourism industry, Director of Public Relations at the Sri Lanka Tourism Promotion Bureau, Dushan Wickramasuriya, revealed that there is some sort of an indirect impact on the Sri Lanka tourism industry due the present dengue epidemic. He said that as a result there has been a considerable decline in the arrival of foreigners since May. The Monthly Statistical Bulletins, which offer information regarding tourist arrivals and hotel occupancy, provides the following information for the period between January to June 2017The data released by the Sri Lanka Tourism Development Authority (SLTDA) reveals that Sri Lanka�s tourist arrivals declined in March by 2.5 percent compared to the same period last year. Wickramasuriya further stressed that the reason for the decline in the arrival of foreigners doesn�t only depend on dengue alone, but it has been one of the core grounds for the drop in the number. ��Tourism Minister, John Amaratunga told Daily Mirror that the country hadn�t been able to record the expected tourist arrivals during the month of June mainly due to the floods, dengue outbreak and the garbage crisis. ��""If you �need emergency medical�assistance�during your trip,�dial 011 2691111�and ask for an ambulance""���The dengue epidemic itself didn�t adversely affect the tourism arrivals this month. When the flood situation was on the surface, there was a considerable decline in the arrival of foreigners. But now the floods are over. Even dengue is now on the decline, so we are confident that tourist arrivals will receive a boost and we will be able to achieve our targets,� Amaratunga said. �He added that tourist arrivals established a record last year with the figure reaching 2 million. The authorities are expecting an additional 2.5 million tourists to arrive this year. �The United Kingdom High Commission declared that the UK Government has issued a health advisory to visitors from the UK ensuring that their people are secure from the prevailing condition of dengue. This kind of travel advisory indicates that dengue in Sri Lanka is pathetic. The travel advisory is as follows as: All regions of Sri Lanka experience outbreaks of the mosquito-borne dengue fever.�Tourism Minister, John Amaratunga told dailymirror that the country hadn�t been able to record the expected tourist arrivals during the month of June mainly due to the floods, dengue outbreak and the garbage crisis�103,114 suspected cases of dengue fever have been reported between January and July 2017 compared to 55,150 cases reported for the year 2016. You should take steps to avoid being bitten by mosquitoes. If you need emergency medical assistance during your trip, dial 011 2691111 and ask for an ambulance. You should contact your insurance/medical assistance company promptly if you are referred to a medical facility for treatment.�Dengue hasn�t caused damage yet - sltpb Chairman ��Chairman of Sri Lanka Tourism Promotion Bureau (SLTPB), Udaya Nanayakkara, pronounced that the existing dengue situation hasn�t affected the tourism industry. ��I admit that the dengue issue in Sri Lanka is extremely serious. But with regard to tourism, the prevailing circumstances pertaining to dengue haven�t yet cased any damage or loss to the tourism industry in SL,� he said. �He revealed that although there is a general tendency to see a drop in �foreigners this season, he didn�t see dengue to be the reason behind this. He nevertheless said that this situation will change by September and more foreigners will be arriving in Sri Lanka. �When contacted, Hoteliers Association President Sanath Ukwatta, said that there has been a substantial decline in the arrival of foreigners in connection with some of recognized hotels in Sri Lanka like Gall Face Hotel, Mount Lavinia Hotel and Cinnamon Grand Hotel. On the hand, one of the directors of Galadari Hotel said that they are conducting their work without a hitch and they aren�t experiencing a decline in �foreigners. � ���""103,114 suspected cases of dengue fever�have been reported between January and July 2017""�Negombo Worst hit tourist city!",dengue
Negombo Worst hit tourist city!,"2017-07-25 00:10:42							3						 				9386","It�s visible that the city worst hit by dengue in the country is Negombo. Director General Health Services of Western Province Dr. Ahemed Fareed told Daily Mirror �that plans have already been carried out by the health authority to initiate new programs and control the spread of dengue in the Western Province, especially in Negombo.�Dr. Fareed said that the health authority has deployed 50 labourers to Negombo and 40 to Colombo to clean up drains and assist hospital staff. At the same time, we have established new dengue control units in the Western Province. ����At the same time, unless we get used to dumping dirt at appropriate places, we might not care much about dumping garbage at allocated places� � �Dr. Ahemed Fareed � ����The current situation is pathetic�- Dr. Ahemed Fareed ��Most number of cases has been reported in May and June due to the inclement weather condition experienced from April till the end of May. It�s clear that rain has been one of the core reasons for the rapid prevalence of the dengue infection. Apart from the consequences of rain, the garbage issue also has made a massive impact on the spread of dengue. When the garbage disposal process isn�t carried out properly, the larvae of dengue can survive with ease. It�s we who set the background for the mosquitoes to greed their grounds as we lack concern regarding the disposal and segregating of muck collected in our houses. At the same time, unless we get used to dumping dirt at appropriate places, we might not care much about dumping garbage at allocated places. If you don�t pay attention to this matter, you will have to face the consequences. Therefore, it�s really essential to be mindful and take precautions, so that the prevailing situation of dengue doesn�t worsen,� he added. ��The current situation of dengue is indeed pathetic, when we examine the latest updates regarding patients. The Epidemiology Unit told Daily Mirror that there have been 103,114suspected dengue cases reported since 2017 from all over the country. Out of this figure 275 deaths have been reported so far. Approximately 43.67% of dengue cases were reported from the Western Province. ��The Western Province has recorded 45,030 cases so far this year, the most number of cases when considering all provinces. Consultant community physician at the National Dengue Control Unit, Dr Preshila Samaraweera told Daily Mirror that the main reasons for this are the huge piles of garbage which have been rotting for weeks along with drains not being cleaned. ���Colombo statistics bloated unnecessarily ��A number of hospitals are loaded with dengue patients, especially the Negombo Base Hospital because the area is now under the spotlight for dengue. Although a substantial number of cases has been reported from Colombo, Negombo is deemed to be the city most severely affected by dengue. The reason for this is because when most of the people from rural areas come to Colombo to take treatment for dengue, these statistics are added to the list of patients in Colombo. That�s why the number of dengue cases is considerably high in Colombo,� she said. �With the rapid increase of dengue patients, we will be granted two temporary additional wards which are being built for the in-house dengue patients� Dr Preshila Samaraweera ���Meanwhile, there has been congestion in some hospitals especially in the Negombo Base Hospital. This is due to the inadequacy of beds in relation to the number of in-house patients at the hospital, the Director of Negombo Base Hospital Nilanthi Pathirana told Daily Mirror.�There are nearly 4,500 patients and 12 deaths have been reported so far from the Negombo Hospital. Although, there are nearly 800 dengue in- house patients now in the Hospital, the beds remaining are only 569. The following information illustrates the number of cases reported since January 2017 in Negombo,� she said. ��""There are nearly�4,500 patients�and�12 deaths�have been reported so far from the Negombo Hospital""Jan -123, Feb - 95, March - 129, April - 218, May � 467, June � 1884 and July-934 �She mentioned that the issue has emerged following the ongoing construction of the main building of the hospital which will be completed soon. She nevertheless stated that the situation seems to be under control as the Out Patient Department (OPD) is sufficiently geared to treat a considerable number of dengue patients. ���With the rapid increase of dengue patients, we will be granted two temporary additional wards which are being built for the in-house dengue patients. This is an initiative of the Army present at the Negombo Hospital premises. When the President paid a sudden visit to the hospital, he had noticed that the institute lacks sufficient facilities to accommodate in- house patients. The President had then instructed the current Chief of Defence Staff and former Commander of the Sri Lankan Army, Crishanthe De Silva to look into the matter and take necessary measures. Even though there is a problem at present for patients to find accommodation, we try our level best to mitigate the inconvenience caused and supply a possible service to the people,� she added. ��Confidential sources revealed that10 doctors and 20 staff members of the Negombo Hospital have been affected by dengue. Besides, this situation depicts the real gravity of dengue in Negombo city. However, when we contacted Dr. Lakkumar Fernando and inquired about this situation, he totally denied these facts. He said that there are only 3 doctors who were affected by dengue. Director General of Health Services of Western Province Dr. Ahemed Fareed also said that a lesser number of doctors and staff members suffer from dengue, both in Negombo as well as other regions. ��The following table denotes the number of patients reported month wise in 2017. ����SL�s tourism industry feels the sting",dengue
GMOA to stop work from 8.00 a.m. tomorrow,"2017-07-24 15:10:24							24						 				5411","The GMOA today announced it would launch a countrywide work stoppage from 8.00 a.m. tomorrow as planned over several issues including the suppression of university students� rights and the attempt to abduct university students.The GMOA said they decided to stop work because there had been no positive response from the authorities even though they had informed the President, Prime Minister and the Health Ministry regarding tomorrow�s strike action.It said the strike action would not affect the maternity hospitals, cancer hospitals, children�s hospitals, emergency treatment units and dengue treatment units. (Thilanka Kanakarathna)�Video by Susantha",dengue
Dengue mosquito menace Simple Alternatives HIGHLIGHT,"2017-07-24 00:29:48							0						 				1415","Dengue is now centre stage in the Newspapers, Radio and on TV.However, the whole focus is on prevention � and rightly so But perhaps there are other approaches that have not been presented to the public and perhaps this letter could be used or more effectively in an editorial, to bring it to the notice of the public.But first let us look at the facts.�A week or so ago, it was reported in the Dally Mirror that Government researchers had found that there are now two mosquito types that carry the virus and that the Dengue-causing mosquitoes have also developed a resistance to the chemicals used in fogging and in drains.�It is of course well known, that insects are able to develop resistance to chemical pesticides.�So, if Mosquitoes can develop resistance to chemicals, we too can increase our NATURAL resistance to viral diseases. It is actually quite simple but we need to take action to increase our resistance (like taking action to go jogging for our health).���Action to be taken: (1) Daily eat 5 or 6 leaves of RAW Holy Basil (Thulasi in Tamil, Maduruthala in Sinhala) in Mallums or salads as it is an �adaptogen� a bio-chemical that increases resistance to viral diseases (See attached article � from www.mercola.com) (2) Reduce and if possible eliminate foods that lowers your resistance to disease, such as refined white sugar (basically a chemical like any lab chemical), and therefore uses up vital minerals in order to be digested, lowering disease resistance, bone loss in older people etc.�Use alternatives like Kitul or Coconut jaggery or treacle (pani). �(3) Reduce and if possible eliminate white flour products because they contain �Gluten� which also lowers resistance and even promotes ill health. (4) We all know that many farmers use chemical fertilizers and pesticides and we know from Facebook and you-tube that other local and imported food products too have chemicals.�So choosing Organic foods may be wise even though it may be more expensive.���With regard to the problem of resistance to Fogging Chemicals, a simple natural alternative is to use Neem (Kohomba) oil. This has to be mixed with a little detergent (such as dish-washing liquid) to counteract the �oiliness, so that it could be used as a spray. Unlike chemicals (which have a single chemical that kills), Natural insecticides have an arsenal of different bio-chemicals which is why insects cannot easily develop resistance to them For stagnant water in drains etc. (blocked by people using drains as rubbish dumps) , a simple and inexpensive alternative is to use waste engine oil. The oil forms a film on the surface and mosquito larvae in the Pupal Stage (when they are shaped like a �comma�) are air breathers and come to the surface to breath air. The oil blocks their breathing tube on the top of the �comma� and they die.Note � the harmful chemicals used as additives in Engine oils are �burnt� in waste or used engine oil, so that the remaining oil is say 90 percent similar to the oils extracted from the earth and therefore biodegradable.",dengue
RDA bulldozes Colombo Swimming Club pool area,"2017-07-21 19:40:00							25						 				22847","The Colombo Swimming Club (CSC) Officials today said that they were taken by surprise when the Road Development Authority (RDA) officials entered their premises with a Court Order and started demolishing the buildings and walls behind the CSC swimming pool, to make way for the Colombo Extension of the Marine Drive without prior notice.President of the CSC Tony De Livera told the Daily Mirror the RDA officials arrived at the scene with armed Police, shocking club members and started demolishing surrounding the pool area without getting any permission from the CSC authorities.�Without noticing the trustees of the club, the RDA, along with the Police, came to the club and said that they were going to take over the premises of the club on a Court Order,� he said.�I can�t understand the urgency to destroy a property that has been here since 1936,� he said.�There were people in the pool, especially children and women. When the authorities suddenly showed up they rushed away as they got scared of the armed Police,� he said.Mr. De Livera also said the baby pool and the play zone were completely destroyed leaving it open to stagnant water - an ideal place for dengue mosquitoes to breed.�No notice was given, they have timed it perfectly. Crashing in on a Friday afternoon they knew we would be unable to go to Court to get an injunction,� he said.Meanwhile, the members of the club questioned the motive behind the project to start from the CSC leaving out the premises of the American Embassy and other commercial sites.However, RDA sources said that the Court Order to take over the land was issued on July 7 and it included most of the pool area as well.Club members expressed concern over the way it was handled and said that they feared the CSC�s pride and the existence would be threatened by RDA�s move.The CSC established in 1936 is now seventy five years old. (Thilanka Kanakarathna)�Video by - Susantha",dengue
Don�t strike with all your might,"2017-07-21 01:58:24							0						 				1817","Though we hear and talk a lot about human rights, responsibility ranks among our noblest virtues. Major religions teach and we need to be aware that we are responsible for the welfare and well-being of all people, specially the oppressed people enslaved in the poverty trap. Beyond that, in this modern era, we are also responsible for all creatures�ranging from elephants to ants. We are responsible for the oceans and rivers, trees and plants, the air and the delicate balance in our ecology. ��It is in this perspective that we need to see the moral issues involved when people or groups - expected by society to act with the virtue of responsibility - abuse the new freedom that Sri Lanka now enjoys. They over-emphasise rights and often resort to strikes which cause more suffering to millions of people who are already suffering more than they can bear. ��On Wednesday, Ceylon Electricity Board employees or unions put themselves into a dark pit instead of providing light. The unions had some justification for their protest outside the Mulleriyawa police station, but not for the 12-hour work to rule, work stoppage, strike or whatever it may be called. Thousands of innocent families including infants and schoolchildren were the innocent victims. Electricity supplies were cut from about 11 p.m. on Wednesday till 2 p.m. yesterday. Most children in the area did not go to school while adults also said they could not get even a few hours of sleep and their days� work commitment might be seriously affected. ��The CEB union say two employees had been sent to disconnect the electricity supply of a tyre shop at Angoda. The Union say the CEB men were assaulted by the trader who allegedly has some strong political connection. Later on Wednesday the CEB staff held a protest outside the Mulleriyawa police station demanding that the trader be arrested. The Police officer in charge assured he would take action within 24 hours but the trade unions apparently suffered a blackout in their sense of responsibility and as a result tens of thousands of people suffered for it. During the blackout at Himbutana a fire erupted on a high tension post. Residents said that for more than 90 minutes they called the CEB�s area office but there was no response. Finally the police came in and with the help of area residents, brought the fire under control. Reports say the CEB unions were planning to call a country-wide general strike from yesterday but a sense of responsibility prevailed and it was averted. �Since the era of the industrial revolution, strikes have been recognised as a right of workers. But it has been a last resort specially in essential services such as health and power supply. Tragically during the past few months it is the Government Medical Officers� Association (GMOA) that has been setting a bad example and showing a lack of responsibility by launching wildcat strikes at a time when the country is facing one of its worst dengue epidemics. ��Last Wednesday Health Minister Rajitha Senaratne�who is virtually at war with the GMOA-- presided at a meeting of a new movement of medical doctors. The GMOA, with a membership of about 20,000, often boasts it is one of the most powerful trade unions in Asia but many patients believe it may be one of the most irresponsible if not ruthless while doctors must surely be aware of the fall that comes�with pride. ��Almost daily we see the GMOA protesting or provoking students to protest against the South Asian Institute of Technology and Medicine (SAITM). Last Monday the government took over the controversial Neville Fernando hospital which is attached to SAITM and the President has offered to come more than half way but the GMOA appears to be wanting to cut off its pound of flesh.",dengue
"Julie Bishop calls on President, PM","2017-07-20 16:23:39							0						 				2259",Australian Foreign Affairs Minister Julie Bishop called on President Maithripala Sirisena at the President's Residence in Colombo today. During this meeting she announced a major Australian assistance to combat dengue fever in Sri Lanka. She also met Prime Minister Ranil Wickremesinghe at Temple Trees. Pix by Pradeep Pathirana and President's Media �Video by Janaka,dengue
Australia to provide Rs. 116 mn for Dengue control,"2017-07-20 07:10:37							5						 				4675","Visiting Australian Foreign Minister Julia Bishop said the Australian government will assist Sri Lanka in the eradication of Dengue by providing Rs.116 million for a joint research programme with Monash University.The Monash University research team will trial the introduction of a naturally occurring Wolbachia bacteria to the Sri Lankan mosquito populations which will hopefully prevent the dengue virus from being transmitted to humans. The bacteria was said to have the ability to block other mosquito borne diseases such as Zika and Chikungunya.Addressing the media in Colombo last evening Bishop said the use of the bacteria had been successful in several other countries that it has been piloted in including Brazil, Colombia, Vietnam, India and some pacific nations. �We know the virus has taken a heavy toll in Sri Lanka with close to a 100,000 infected and 250 deaths and we are committed to helping Sri Lanka eradicate dengue once and for all,� Bishop said.Speaking of short term measures to eradicate the disease, Bishop said the Australian government would also provide a grant of Rs.58 million to the World Health Organization (WHO) to immediately implement intensive dengue prevention and control measures.Working with Sri Lankan health authorities and other partners, the objective will be to the reduce transmission of dengue and thereby the incidence by more than 50 per cent over a period of 4-6 weeks in high risk districts of the country. Thanking Bishop, on the initiatives by the Australian government, Health Minister Rajitha Senarathna said the Health Ministry had already developed a sustainable dengue prevention campaign which would ensure the fever would not be a health issue by 2020.The Minister concluded that this assistance was welcome and would help in eradicating dengue in the country. �We have exchanged a letter of intent in participating in the programme and will sign the agreement once discussions are concluded,� he said. (Nabeela Hussain)",dengue
Empower the youth to go green,"2017-07-20 00:17:17							0						 				1861","�Last week, the National Unity Government took a bold and effective step to ban the use of plastic and polythene, including the popular silli silli bags which come easily but do not go away easily. However, there are interested parties with vested interests. They are demanding an alternative. �Environment analysts and responsible eco-friendly citizens believe that the plastic lobby is basically anti-Sri Lanka -- somewhat like LTTE terrorists, who wanted to destroy our country and people. The powerful lobby is trying to do it not with guns or bombs, but with slow painful death caused by degenerative diseases brought on when we consume toxic chemicals. �It is now well known that plastics degenerate in the sea into small particles that resemble fish eggs and are thus eaten by some fish varieties. Thus some of the fish varieties we now eat have plastic pieces in them. This is why we are advised to eat small fish, because larger fish would accumulate more plastic and other toxins, such as mercury. Patient-friendly doctors say this may be one of the reasons why most of us are falling sick more often and hospitals are overcrowded, more so because of the dengue epidemic and the garbage crisis. Thankfully the Government is to put these battles on a war footing. ��Plastic chemicals also seep into the soil and are absorbed by vegetables and fruits that we eat, in much the same way the well-known chemical Bisphenol A (BPA) leaks from plastic bottles into our drinking water. BPA is a female hormone mimic, as it is chemically similar to oestrogen, and according to researchers, is the main reason girl children are growing up as early as eight and even six years of age and boy children are having feminizing traits. Imagine a 6-year-old girl having the feelings and urges of a grown woman. What a tragedy. Could these changes also be fuelling the current trend of broken marriages? �What are the alternatives to plastics? There are many responsible and eco-friendly people who use paper bags, such as the �Good Market� at Reid Avenue and the Mount Lavinia Pola. If the people who run a Pola can do it, why not the big supermarkets ? �The other concern is �buth packet� packaging. Here too, the many food vendors at the �Good Market� Saturday fair have shown the way. They sell food wrapped with oil paper in cardboard boxes- simple and eco-friendly. ��We need to be shocked to learn that Sri Lanka is the 5th worst out of 193 countries, in plastic waste. We may be even worse in food waste. This is because in most other countries food is served by portion size, so that waste is minimized. We in Sri Lanka have what may be called a buffet style � which means that there is a lot of food left over because the food preparers do not want to run out of food. �About one million families have just one meal a day while a colossal amount of five-star buffet meals are wasted. No wonder Colombo�s former Mayor some years ago said that the Kirillapone �kunu mole� had to be closed down, because our waste was so wet and required too much fuel. �The solution is simple -- just grind up your food and kitchen waste in a food blender and it will reduce to half a bucketful. Then dig a small hole and bury it. It is super food for earth worms. In apartments people insert a 1-inch plastic pipe into each flower pot or pot growing salad greens and trees like murunga. They pour the grinded liquid food waste into each pipe and cover with a cork. Earth worms will do the rest. �The Government has announced it is getting down modern machinery to recycle plastic waste and produce even clean energy. Organic waste is to be turned into bio-fertilizer. Last Saturday July 15 was the United Nations World Youth Skills Day. The world body in a statement called on governments to educate and mobilize the youth for the battle against climate change. It is the youth who will be most affected in the next generation if the world does not win this battle. ��Thus the Sri Lankan Government also needs to conduct school lessons on climate change issues including the avoidance of waste of electricity or water and the proper disposal of garbage. As Singapore has done, we need to build green schools here and also green buildings, green hotels and other institutions. � ��",dengue
ICCSL to create awareness among corporate sector to combat dengue,"2017-07-20 00:03:05							0						 				1168","The International Chamber of Commerce Sri Lanka (ICCSL) has taken up several measures for the prevention of dengue by launching an awareness campaign in an effort to reduce the incidence of the disease.�ICCSL has communicated with all the business and industry chambers in Sri Lanka about the danger of dengue and how to prevent and what easy steps they should follow every day until it is no longer a problem. ICCLS has passed this message to all the BOI companies, stock exchange companies, banks, manufacturing companies, printing companies and various other organisations in Sri Lanka with the request of educating their workers and their families and friends.�ICCSL believes that if this process works out well, they can make a great contribution towards the reduction of dengue patients at the first stage. In the second stage they want to create a regular check list to be followed by every person in the society. ICCSL noted that if all sectors work hand in hand and create awareness in the society, the number of dengue patients could reduce within a short period of time. � �� �ICCSL Chairman Keerthi Gunawardane said that �being a responsible chamber we saw that an awareness programme on dengue was the need of the hour and we acted on it. Constant reminders must be done because people sometimes forget to destroy dengue breeding places due to hectic lifestyles. Further we need to understand that mosquitoes that carry the virus do not come from outside, rather they develop from household things like flower-pots, water coolers, or rejected tyres left on the rooftop or in the corner of the garden. So we must ensure that there is no such place where water is stagnant for sometime.��The Health Ministry has warned that dengue has now entered a pandemic stage as the resurgence of the mosquito-borne menace has killed over 240 people and affected 80,000 so far in this year compared to a total of 51,000 cases reported in 2016.��",dengue
Julie Bishop arrives in SL,"2017-07-19 17:48:51							1						 				3380","Australian Foreign Affairs Minister Julie Bishop arrived in Sri Lanka on a two-day official visit a short while ago.She arrived at the Bandaranaike International Airport (BIA) from India after concluding a visit to India.She is expected to announce Australian assistance to combat dengue fever in Sri Lanka together with President Maithripala Sirisena.She will also discuss the progress on the implementation of Sri Lanka's reconciliation process, which is critical to its long-term security and prosperity.(T.K.G. Kapila)",dengue
Peeping Through The Windows Of Modern Medicine,"2017-07-19 15:13:57							0						 				2554","Fetal specimens displayed at the exhibition��Health is a trending topic at the tip of every one�s tongue today. There are many diseases that endanger one�s health with many more new diseases being discovered daily. Some can be cured while others can�t. Some may be fatal while others aren�t. The phrase �health is wealth� stays true to every word in the phrase and many more people have started paying attention and caring for their health than in the past. The public�s interest on medical issues has increased over a period of time. For the people who are eager to maintain healthy lifestyles today, �Mahajana Suwa Dhana� emerged victorious in serving just that purpose. ���Mahajana Suwa Dhana�, a medical exhibition organized at the BMICH, in commemoration of the 50th anniversary of the Ceylon College of Physicians commenced on July 14 and will conclude on July 16. It served the purpose of educating the public on the latest developments in medicine and empowering their audience in health management. Specialists from medical associations and medical faculties from all over the country joined forces to help raise awareness to inquiring minds. The event was graced by the presence of the Minister of health, nutrition and indigenous medicine, Rajitha Senarathna, as the chief guest. �Dr. Dumitha Govindapala, Consultant Physician, commented on the exhibition�s events. �We had more than a 100 stalls. All the medical specialists came together from around 40 colleges which included Medical colleges, NDCU, Blood Donation campaign, Saukyadana, and many others. Our health status has been double burdened with communicable and non communicable diseases. The country spends a lot of money to cure the diseases . Sticking to the statement that �prevention is better than cure�, we hoped that the conduction of this exhibition would help in educating public and raising awareness. There were blood tests conducted free of charge courtesy of the Ministry�s mobile Laboratory services. There was a stall organized by the Ceylon College of Internal Medicine where free consultations were offered to the public among other programs we conducted.� �The public was open to panel discussions conducted by consultant physicians of common health conditions such as diabetes, heart attacks, asthma, dengue and high blood pressure where the public very keenly got involved, getting their doubts clarified. The highlight of the exhibition was the very many health educational stalls exceeding 100 in number through which presentations were conducted to raise awareness on common medical conditions, screening, diagnosis, treatments and preventive methods. ��There were many medical areas for one to explore which included a high tech zone which allowed the audience to have a glimpse at the future of medicine with holograms and virtual 3D imaging in amazement. The importance of physical fitness and exercises was discussed at stalls in the sports area which got the crowds to actively participate in exercises. The current epidemic, dengue, earned itself a special stall where the do�s and don�ts of dengue were stressed. There were stalls on toxicology held in hope of educating all nature daredevils on poisonous plants and snakes. For those who love a good thrill and all things criminal and mysterious, a forensic section was available. The same can be said about the inquisitive and curious, as they were satisfied with the stalls themed on anatomical mysteries of the human body. Stalls were also held in connection with subjects like sexual health, alcohol and smoking issues and rehabilitation. The healthy lifestyle zone as the name implied, helped educate the public on how to get the best of life. The public also basked in the opportunities of free health check-ups such as blood tests, blood pressure checks, blood sugar checks, cholesterol checks and last, but not least hearing and vision. ���A stroll through the stallsThe Sri Lankan Heart Association, at their stall were focusing on the importance of recognizing heart attacks and seeking immediate help. Dr. M. R. Mubarak, Consultant Cardiologist and the president of the SLHA said that most people ignore the symptoms of a heart attack mistaking them for indigestion, arthritic pains etc. He said that most patients arrive at the hospital when the situation is critical. He said that early admission is a major factor that improves the outcome of a heart attack. Patients having a heart attack usually present with chest pain and tightness on the central and left side of the chest, arm pain, pain in the neck lower chest or upper abdominal area, shortness of breath, excessive sweating, nausea and vomitting. It is advisable for them to seek immediate medical care if a person is having one or more of these signs. �Geriatrics is a relatively new field of specialty in Sri Lanka, focusing on the medical issues that come with old age. Their theme for this year was, �for a dignified Silver age�, meaning that getting old doesn�t mean that you have to depend on others and be less active than you used to be. The stall offered information about issues like Dementia and osteoporosis which are common problems with older citizens. �The stall of the College of Pulmonologists�Sri Lankan Eye Donation Society had a stall where they explained the importance of donating eyes posthumus. Your age or poor vision doesn�t matter in donating your eye tissues, which will be processed by the eye bank and will be donated for free to a person who will continue to see the world through your eyes, long after you�ve departed. You can get more details on donating your eyes and body tissues by contacting National Eye Donation Society at 011-2692051. �Sri Lankan College of Pulmonologists had demonstrated the latest advancements in the field of pulmonology, including Endobronchial Ultrasound Scan and Fiber Optic Bronchoscopy. In addition to providing details about the commonest respiratory diseases like Asthma and COPD, they highlighted the importance of a condition called �Obstructive Sleep Apnoea� which can be present in people who are snoring. This condition should be taken very seriously because it has very damaging repercussions. It has been proven that people with this condition are more prone to get depression and have a higher chance of getting into accidents in addition to other complications. So if you snore heavily in your sleep and feel tired soon after waking up, Dr Bodhika Samarasinghe, Consultant Pulmunologist at the Jaffna hospital advises to consult your family physician immediately. �In addition to the stalls by the specialist Colleges, and Societies in the field of Medicine, Some of the Medical Faculties also had participated in the event. The stall conducted by the Medical Education Department, Faculty of Medicine, University of Kelaniya was focused on the use of Modern technology in Medical Education. The stall was a perfect example of how the traditional could be incorporated with modern technology to give an optimum earning experience to the student. The stall had supplied the audience with an interactive experience, where they got to experience first hand the technologies like virtual reality. Dr. Madhawa Chandrathilake, Head of the Department of Medical Education, speaking about the contents in the stall said that even though these technologies are rarely used in teaching these days, this will be the future of medical education. �Models of kidneys �and nephrons�Among the stalls were the ones conducted by the Ceylon College of Anaesthesiologists, where practical demonstrations on first aid methods like Cardio Pulmonary Resuscitation were available to the public. They were able to garner knowledge on what should be done on various emergency situations like choking and cardiac arrest. Another stall on Critical Care Medicine demonstrated an ICU setting, where a patient with serious conditions at risk of losing organ functions are treated with each organ supported by an outside machine, and how they are gradually weaned off the machine when they are getting better. �Sri Lanka Medical Nutritionist�s Association demonstrated the ideal diet for a healthy Sri Lankan, where only half of the plate should consist of rice. Two thirds of the remaining part should consist of vegetables while the other one third should contain proteins. The high risk Sri Lankan citizen faces the danger of suffering non communicable diseases like Diabetes due to their incorrect food habits.In the overall, the exhibition provided a deep insight and a thorough exposure to the various intricasies linked with modern medicine. � �Pics by: Kushan Pathiraja�",dengue
