Title,Date,Article_content,type
New Ward for dengue patients at CNH,"2017-07-10 15:15:54							0						 				3571",A new ward to treat dengue patients was declared open at the Colombo National Hospital (CNH) today. Pix by Damith Wickramasinghe,dengue
Abandoned lands in WPC to be taxed,"2017-07-10 11:54:23							11						 				6571","Western Province Chief Minister Isura Devapriya has directed the authorities to charge a two per cent tax on the total value of the lands remaining abandoned in Western Province in keeping with the laws pertaining to such matters.He told Daily Mirror that the owners of such land would be liable for this tax with effect from yesterday. He said these abandoned lands had become thriving dengue mosquito breeding sites.�This tax is already outlined in the laws governing local bodies. It is not something that only the Western Province can implement, every provincial council can do so,� the CM said.He said a large number of dengue breeding sites had been detected on abandoned lands as they were hardly maintained by its owners.As of today officials will survey abandoned lands to gauge the current market value after which two percent of the value would be imposed as tax.�The tax may may not be a one time payment,� the CM said and added that the authorities also had the power to acquire the land if the tax was not paid.(Darshana Sanjeewa)",dengue
"Garbage: Together, let�s turn the crisis into a blessing","2017-07-10 11:42:53							0						 				386","The garbage disaster, which exploded at Meethotamulla on the National New Year�s Day, is still contaminated with much controversy and criticism but the government says it has a long-term plan to recycle polythene or organic waste.� �On Wednesday, the crisis took a new turn with the Supreme Court issuing an order restraining the Colombo Municipality from dumping garbage at Muthurajawela. The order, valid till July 20, was based on a fundamental rights petition filed by 35 residents who said they feared a disaster similar to Meethotamulla. The residents said Muthurajawela was a sanctuary consisting of 192 distinct species of flora, 209 species of fauna,102 species of birds, with large paddy fields across 635 acres, canals, marshlands and mangroves across 7,000 acres of lush forests. �Colombo�s Archbishop Malcolm Cardinal Ranjith and other leaders have also appealed to the government to stop the dumping of garbage at Muthurajawela. The Archbishop said he had received reports alleging that even human body parts had been dumped there. But the Health Minister told Parliament there was no basis for this allegation and that hospitals had a different way of disposing of body parts. Prime Minister Ranil Wickermesinghe also spoke out, telling Wednesday�s parliamentary session that he was concerned about the court issuing stay orders without giving a hearing to both sides. The Prime Minister said he believed that garbage lying at various places was aggravating the dengue epidemic.� �On Wednesday, the Janatha Vimukthi Peramuna (JVP) at a news conference, claimed the Health Ministry had been given orders to stop issuing figures relating to dengue victims. Last week the ministry said there were about 70,000 victims with some 200 deaths but since then no statistics had been issued. The JVP claimed it had information that the number of dengue victims had risen to more than 87,000 this week and may soon reach the 100,000 mark. ��At the meeting this week, the Cabinet decided that the entire garbage issue should be handled and coordinated by� Megapolis and Western Development Minister Patali Champika Ranawaka. The minister, an engineering graduate now specializing in modern technology, said he was working out plans for the recycling of plastics or polythene to make various products and for the recycling of organic waste into compost fertilizer.� �All over the world, creative, imaginative and enterprising men and women have come forward to find eco-friendly and productive solutions to the climate-change crisis. It is known that our oceans are so filled with plastic or polythene waste that in the coming decades there will be more plastic bottles than marine species in the seas. With this in mind, one creative woman designer has launched a worldwide enterprise to manufacture shoes and sandals, handbags, purses and other items from recycled plastic bottles. She says the products are as good and hardy as leather which we obtain by killing animals.� In a crisis, be it garbage or the disaster at Uma Oya, we need to look for solutions instead of indulging in the blame game and finding fault. While the government and other institutions work out midterm or long term mega solutions to turn trash into cash, every eco-friendly family needs to cooperate in finding a sustainable solution. Families need to act wisely in collecting organic, plastic or polythene and other wastes separately and disposing of it in a responsible manner. Families also need to be given compost bins at a low cost so that they themselves could turn their organic waste into good fertiliser for their home gardens. In these and many other ways a curse or a scourge could be turned into a blessing when we act in a selfless and sincere manner for the common good of all our people and the country.��",dengue
Health Ministry warns labs over dengue test prices,"2017-07-09 12:05:45							3						 				4379","Health Minister Rajitha Senaratne instructed officials to investigate the prices of lab tests of private hospitals and laboratories, which violated price ceiling for full blood count and antigen tests.Earlier, the Health Ministry informed private hospitals and laboratories to continue price ceiling on full blood count at Rs. 250 and dengue antigen test at Rs. 1,000 until further notice.Accordingly, all private hospitals are required to implement the new prices and issue the blood reports to the patients within half an hour.Ministry said several complaints, had been received claiming that some private hospitals had violated the direction and warned that strict action would be taken against the private hospitals and laboratories if they violate the health ministry direction.",dengue
Education TUs rebuke Minister's logic on dengue eradication,"2017-07-08 16:05:04							14						 				4321","Education Minister Akila Viraj Kariyawasam�s logic to wear long sleeved clothes to protect school children from dengue was hilarious and worthless, Education Trade Unions claimed yesterday.Speaking on the matter All Ceylon Teachers� Union (ACTU) Secretary Joseph Stalin said Minister Kariyawasam had made no concrete suggestion to protect schoolchildren nor had he taken any action regarding it.He alleged the spike in dengue fever among students was due to the inefficiency of the education authorities.Mr. Stalin also said the authorities should pay more attention to fogging at schools and also implement other solutions to ensure children�s safety.Meanwhile, Ceylon Teachers� Services Union General Secretary Mahinda Jayasinghe said the Provincial Education ministries had not taken sufficient measures to eradicate dengue in school premises which had resulted in hundreds of students contracting the fever.He said the country was in the middle of an epidemic but the Provincial Educational Ministries had not taken any preventive measures. He added that the authorities should immediately start a dengue prevention programme with the support of the health sector to make schools a dengue free zone.Children�s right to education and the students themselves should be protected at any cost, Jayasinghe said. (Thilanka Kanakarathna)",dengue
Dengue outbreak: GMOA calls for meeting with President,"2017-07-07 03:00:24							10						 				5056","The Government Medical Officers� Association (GMOA) yesterday called for a meeting with President Maithripala Sirisena to discuss the Dengue outbreak in the country.GMOA Secretary Dr. Haritha Aluthge said they referred a letter containing several proposals for Dengue eradication to President Sirisena on Wednesday.�As a trade union, the GMOA has appointed an Action Committee to control this epidemic. This committee has made several proposals on a scientific basis to the issue. According to these proposals, the prevailing conditions should be analysed in district and divisional levels. Public awareness programmes should be carried out and the laws implemented,� he said.Dr. Aluthge said the contribution of the private sector was vital in controlling this situation, and that the current healthcare system in the country should be streamlined.�We have requested for a date and time to discuss our proposals with the President. We are ready to give our fullest support to control this situation as we did when the country was affected with floods and landslides. During that disaster situation, we carried out some 800 healthcare camps islandwide,� he said.Dr. Aluthge further stated that the deadly outbreak of Dengue had killed hundreds of innocent people in the country for the past five months, and that the death toll was increasing day-by-day. (Kalathma Jayawardhane)",dengue
"Garbage: Together, let�s turn the crisis into a blessing - EDITORIAL","2017-07-07 01:14:37							0						 				1978","�he garbage disaster, which exploded at Meethotamulla on the National New Year�s Day, is still contaminated with much controversy and criticism but the government says it has a long-term plan to recycle polythene or organic waste. ��On Wednesday, the crisis took a new turn with the Supreme Court issuing an order restraining the Colombo Municipality from dumping garbage at Muthurajawela. The order, valid till July 20, was based on a fundamental rights petition filed by 35 residents who said they feared a disaster similar to Meethotamulla. The residents said Muthurajawela was a sanctuary consisting of 192 distinct species of flora, 209 species of fauna,102 species of birds, with large paddy fields across 635 acres, canals, marshlands and mangroves across 7,000 acres of lush forests. �Colombo�s Archbishop Malcolm Cardinal Ranjith and other leaders have also appealed to the government to stop the dumping of garbage at Muthurajawela. The Archbishop said he had received reports alleging that even human body parts had been dumped there. But the Health Minister told Parliament there was no basis for this allegation and that hospitals had a different way of disposing of body parts. Prime Minister Ranil Wickermesinghe also spoke out, telling Wednesday�s parliamentary session that he was concerned about the court issuing stay orders without giving a hearing to both sides. The Prime Minister said he believed that garbage lying at various places was aggravating the dengue epidemic. ��On Wednesday, the Janatha Vimukthi Peramuna (JVP) at a news conference, claimed the Health Ministry had been given orders to stop issuing figures relating to dengue victims. Last week the ministry said there were about 70,000 victims with some 200 deaths but since then no statistics had been issued. The JVP claimed it had information that the number of dengue victims had risen to more than 87,000 this week and may soon reach the 100,000 mark. ��At the meeting this week, the Cabinet decided that the entire garbage issue should be handled and coordinated by �Megapolis and Western Development Minister Patali Champika Ranawaka. The minister, an engineering graduate now specializing in modern technology, said he was working out plans for the recycling of plastics or polythene to make various products and for the recycling of organic waste into compost fertilizer. ��All over the world, creative, imaginative and enterprising men and women have come forward to find eco-friendly and productive solutions to the climate-change crisis. It is known that our oceans are so filled with plastic or polythene waste that in the coming decades there will be more plastic bottles than marine species in the seas. With this in mind, one creative woman designer has launched a worldwide enterprise to manufacture shoes and sandals, handbags, purses and other items from recycled plastic bottles. She says the products are as good and hardy as leather which we obtain by killing animals. ��In a crisis, be it garbage or the disaster at Uma Oya, we need to look for solutions instead of indulging in the blame game and finding fault. While the government and other institutions work out midterm or long term mega solutions to turn trash into cash, every eco-friendly family needs to cooperate in finding a sustainable solution. Families need to act wisely in collecting organic, plastic or polythene and other wastes separately and disposing of it in a responsible manner. Families also need to be given compost bins at a low cost so that they themselves could turn their organic waste into good fertiliser for their home gardens. In these and many other ways a curse or a scourge could be turned into a blessing when we act in a selfless and sincere manner for the common good of all our people and the country. ��",dengue
Garbage Management: Schools disappointed with the approach,"2017-07-07 00:11:15							1						 				1485","�Garbage has been a huge issue for many months now, both on a domestic level and on school level. With many focusing on what�s on the streets, little attention is paid to what our little girls and boys are going through when it comes to the approach taken by schools to manage their garbage. �The Daily Mirror learnt from students from various leading Colombo schools that the garbage management within the schools is not going as smoothly as it is externally portrayed. Schools have informed their students to bring lunch boxes and to refrain from bringing plastic bags, lunch sheets, regifoam boxes, etc. Some schools have removed the garbage bins from each classroom, not providing the children with a place to throw their daily trash. In one such school students turned to the dustbins in the toilets, which resulted in the closure of all but one bathroom as a punishment. Students have expressed their dissatisfaction with the fact that the schools expect them to put their garbage in their school bags as they are not allowed to bring polythene bags to even collect their trash. Some students also stated that there was only one garbage bin allocated for each building, where you cannot throw paper or plastic. Students have also expressed dissatisfaction with the fact that the teachers do not have to follow the same rules of not bringing plastic. Parents too are very discontent with the way the schools are handling garbage management deeming it as �too sudden� and that such practices should be brought in slowly and not in such a rapid manner. Instead of teaching student on how and why they should manage their garbage, schools are trying to solve the problem by getting rid of the garbage created by the students as a whole. ��It was also revealed that certain schools have not adopted any form of managing their garbage with the students and continue to allow children to bring plastic. Some schools even take to burning their paper instead of sending it for recycling. �However, on a brighter note, we also learnt that many schools have adopted the three bin concept inside and outside the classrooms and food served in the canteen is served in paper bags, paper plates or put right into the student�s lunch boxes.� �Speaking to Tissa Hewavithana, Secretary of the State Ministry of Education, the Daily Mirror learnt that the Ministry had sent a circular last year towards the end of December, regarding on how to maintain school premises in order to prevent the spread of dengue. In the circular schools have been asked to reduce the use of plastic and to bring every child to have quality cooked food in lunch boxes. The circular has also asked schools to manage their garbage and become familiar with separating the garbage in bins. Regarding the fact that certain schools had removed the bins from the classrooms as a whole, Mr. Hewavithana advised that maybe they could have three bins in the classrooms to encourage and teach the children on how to separate their daily trash. �He further said, �We need to give the children the necessary knowledge on the management of garbage, on the separation of degradable and non-degradable garbage and its importance which can be done by including this in the syllabus and our textbooks. We have to be a part of this sustainable project where in a short period of time we get the children used to creating less garbage and managing it. What we aim to do is incorporate good habits in our children when it comes to maintaining a healthy environment and managing their garbage.����",dengue
People pay for protests,"2017-07-07 00:05:36							1						 				1503","The most apt portfolio of all is that of Lakshman Kiriella, said the three-wheeler driver, while we were caught in the traffic for almost half an hour, near the Kohuwela Junction on Wednesday afternoon last.� �When I asked him what he actually meant, he said:� ��Well its Ministry of Higher Education and Highways. So, every week he keeps undergrads on the roads now.�� �That sarcasm, that cynicism and making fun out of all this anarchy does not lift this society out of the chaos we are fast slipping into. �Much has been written about the SAITM issue and the hooliganism in the medical profession, that has not had any impact on medical practitioners in general and the citizens who are passive victims.� �Nor has the Government taken any worthy steps in resolving the growing menace spilling into the roads on a weekly basis. This now is just anarchy, shamelessly driven by a few Mafiaso in the GMOA and an aimless IUSF. �The not so long history of this SAITM issue reveals a lot about the mafia in the GMOA leadership and it�s petty opportunism. People by now have forgotten that SAITM had other fee levying courses on management and technology that were never opposed.� �Its medical faculty began in 2010 and Prof Carlo Fonseka was the one who approved university status to it by the UGC in November 2011. Prof. Fonseka was thereafter appointed to the Chair of the SLMC on the request of President Rajapaksa on January 2, 2012. �Earlier that the GMOA leadership had its own committee headed by Dr. Padeniya to evaluate the medical degree at SAITM. The Padeniya Committee found SAITM lacking in clinical and community health training and concluded the standard was not adequate for registration with the SLMC as medical practitioners. �The SAITM issue to date saw three SLMC Chairpersons including Prof. Carlo Fonseka idling during the tenure of President Rajapaksa, without taking any serious and workable solution in clearing the SAITM medical faculty lapses. �The same GMOA leadership also played hide and seek with the Rajapaksa regime unnecessarily dragging it for five years from 2010 to 2015 August. �Both parties, the GMOA leadership and the SLMC led by Prof. Carlo Fonseka suddenly woke up to oppose SAITM after the August 2015 Parliamentary elections. �One does not need to dwell any further in elaborating on their politics. �With this sudden waking up after the defeat of Rajapaksa, there is a clear sign of anarchy on the roads. The IUSF is nothing but a political cat�s paw of the �Narodnya Volya� type, Frontline Socialist Party (FSP). The FSP has a history of anarchism. �Before its student gang (The IUSF) broke into the Health Ministry premises, in April 2016 they stormed the Immigration Office demanding the release of their leader Gunaratnam. It was the FSP that tagged IUSF with the GMOA to have their protests on the streets. For the GMOA leadership undergrads on the roads gave a major lift in their post Rajapaksa anti-SAITM campaign. �Demands on SAITM were thus changed over the past one year. ��It began with modest protests over standards on clinical and community health training. The GMOA leadership thereafter opposed fixing up quality, for that would have ended the issue once and for all.� �Instead they moved to a new demand. They then said the SLMC should not under any condition register any SAITM medical graduate.� �That was contested in Courts and the ruling allowed registration. While the SLMC under Prof. Fonseka decided to appeal against the court ruling, with the IUSF on the roads, the demand was changed again to save �Free Education� (None of them knows what it means). Now it is a Shylock type demand, wanting a total closure of SAITM. �Even after the 2015 August elections, this Government too sat over the SAITM issue for one year and 11 months for now without a firm decision.� �Vacillation and hesitancy on the part of the Government and its Cabinet of Ministers making contradictory statements on SAITM, the GMOA and the IUSF had seized this Government inactivity to agitate on the roads.� �The GMOA took it as their strength to decide strike action as they pleased. Buddhist monks and other clergy pleading with these protesters to have some compassion on patients during the dengue epidemic, provide undue legitimacy to these anarchist politics. �What is this �do or die battle� over SAITM worth in terms of��free� education?� ���Closing down of the SAITM will have absolutely no relevance to whatever is meant by �free education� these dumb protesters shout on the streets. These irrational, idiotic protests have nothing to do with �free education�. �It had been very clearly said many times before, there is nothing �free� in education. The cost of education is either borne by parents privately or paid for by the citizens through direct and indirect taxes collected by the Government.� �That was why FUTA wanted a six per cent allocation in the annual budget for education. Calculations made last year with the Government allocating Rs.163 billion for higher education and Rs.77 billion for education, showed that every adult citizen counted as 15 million voters pay around Rs.16,000 annually for education through direct and indirect taxes.� �In a society where 80 per cent of Government revenue is from indirect taxes, every beggar on the street contributes to State funded education from Grade I to the final year at university. �It is also wrong to say, that there is no fee levying in Government schools. There is still the provision to levy school fees as �Facilities Fees� in Government schools.� �In most schools, especially in rural areas, it is not done for the convenience of teachers. There is also provision for Principals to collect funds in all Government schools.� �Most maintenance expenses the State bore in the past have now been gradually transferred to parents. Parents now pay for building repairs. Spend on annual colour washing. Past pupils have taken over expansion needs through fund raising. All parents have to now pay for their children�s after school tuition that is almost mandatory in a thriving private tuition industry.� �What �free� education are these anarchist protests trying to save by closing SAITM? �There is nothing �free� even at the Open University of Sri Lanka maintained on public funds.� ��		Clearly a political campaign the tax payers are indirectly funding			Calculations made last year with the Government allocating Rs.163 bn for higher education and Rs.77 bn for education, showed that every adult citizen pay around Rs.16,000 annually for education			Closing down of the SAITM will have absolutely no relevance to whatever is meant by �free education� �			A student protest, with GMOA leadership against SAITM, has nothing to do with improving the quality of medical education and its profession.� �			The cost of education is either borne by parents privately or paid for by the citizens through direct and indirect taxes.	Most State universities have fee levying certificate, diploma and degree courses going un-opposed by these �free education� saviours.� �International schools, registered as private companies have become part of national education with unregulated fee levying. From pre-school to higher education, parents spend a fair percentage of their hard earned income on education of their children in what these anarchist protesters call a �free education� system. �This is plain opportunist politics played out without direct participation of the Parliamentary Joint Opposition.� �With this Government�s impotence in taking decisions and implementing them quick and firm, these protests have gathered momentum with half hearted solutions offered, but rejected without any serious negotiations. Every round of protests has thus been turned more violent than the previous protest. Worst is that people tolerate all this with just a grumble. �The unseen and unaccounted for damage for the tax-paying public is colossal.� �What use of the tax payers money spent on universities during the past half year? All the lost days in university education, does not go without cost. What cost was it for the citizens who paid for education? While these undergrads were on the streets violently trespassing on State land, blocking traffic, inconveniencing the public, every citizen of this country was paying to keep universities open, paying the salaries of all academic and non-academic staff.� �The undergrads were paid their Mahapola Scholarship to go on these meaningless protests. �Tax-paying citizens, don�t also realise they have been paying for all the facilities added to salaries, allowances and overtime (The biggest farce on earth) of medical doctors while they were on strike demanding closure of SAITM that has nothing to do with healthcare in this country. ��It is a bloated lie to say allowing SAITM medical graduates would deteriorate the quality of medical doctors. It is already very much so, with most medical faculties in State universities providing medical degrees with wholly inadequate academic staff and poor facilities.� �Their quality is rarely tested with patient backwardness that does not challenge them. Often reported cases of medical neglect and faulty diagnosis resulting in fatalities though not challenged, prove medical doctors from State medical faculties are not always the best, nor even good.� �Even where complaints are made to the SLMC against medical doctors, it is a case of medical doctors investigating and sitting on judgment over their colleagues. �Student protests, with GMOA leadership against SAITM, have nothing to do with improving the quality of medical education and its profession.� �The medical profession is no more a respectable, noble profession, chasing after big money without ethics and morals.� �It has in turn lost its due social respect. SAITM is also not about saving �free education�.� �Closing of SAITM will not stop the already �commodified� education to be anything different. �This clearly is a political campaign the tax payers are indirectly funding and will not stand to gain anything from, except growing anarchy. �This will therefore continue until the Government realises it cannot afford this anarchy anymore and the people realise they should not allow their tax money to go waste on these anarchist protests.�",dengue
�I can�t satisfy everybody when taking decisions� Health Minister  Dr. Rajitha Senaratne,"2017-07-07 00:03:43							1						 				1951","Sticking his neck in sticky health issues�Health Minister Dr. Rajitha Senaratne denied President Maithripala Sirisena having had an official discussion with officials of the GMOA with regard to the SAITM issue. Dr. Senaratne in an interview with our sister paper Lankadeepa goes on to state that the discussion held was of a secret nature and such a discussion has only aggravated the complex nature of the SAITM issue. The following are excerpts of the interview.��There had been a meeting between the GMOA and President Maithripala Sirisena with regard to the SAITM issue. Doctors have confirmed having had this meeting. A separate letter has been sent by The President�s Secretary after the meeting regarding this issue. You say there has been no such official meeting with them. Who is saying the truth? �The President says there was an unofficial meeting with them (GMOA). He (President) immediately stated that this meeting had been a secret one. The president has given GMOA officials an opportunity to meet him following a request by them. President never gave them an appointment. They (GMOA) said if an appointment was given for a discussion they would stop the strike. Following their request they were asked to come. There are no records of this meeting. No photos. If there was an official discussion, ask them to show photos. They also accepted that this was a secret meeting. There is no any indication in the letter sent by the President Office that such a discussion was held. The GMOA had tried to have a meeting with Prime Minister Ranil Wickremesinghe, but he (Premier) hadn�t allocated them a time. That is why a telephone call has been taken to Dr. Malik Samarawickrama instead of Minister Malik Samarawickrama.Given the complex nature of the problem it is strange that a secret meeting was held. Don�t you think such a meeting will only aggravate the issue? �We have to offer some help when doctors request a favour for their meeting held in the afternoon. They have to tell something to their members. There are many JVP and Peratugami Party members representing this union. We had to do something because we didn�t want the doctors to lose power in this union.But GMOA says that you were involved when the discussion was in progress with the President and the GMOA. Is it true that you aired your personal views at this forum? �Why should I intervene in this matter? I wasn�t there. Who is interested in my personal views? All ideas have been presented by the government. They say that this government is functioning according to the wishes of some individuals. The government has showcased its stability. This was announced by the President in Polonnaruwa. Now they are trying to put the blame on me because they couldn�t succeed with the President. ��		GMOA accepted that the meeting was held in secret			We didn�t want the doctors to lose power in this union			They are trying to put the blame on me because they couldn�t succeed with the president			GMOA does transfers and appointments according to their wishes			Majority of the members have understood that this is all political work			No problem regarding private medical colleges			We accept the issue regarding quality	In this situation the Government and the GMOA should both take a step back to bring about a solution. But what is happening is that both parties are doing tit for tat �Why should we take a step back? Did we create SAITM? It�s they who got together and built this institute. Now Padeniya is having discussions with Gotabaya Rajapaksha. According to MP Paranawithana, it is Padeniya who took Champika Ranawaka to meet Gotabaya when he (Champika) left the previous government. Now we have to decide whether we will do away with the SAITM or not.� �The GMOA says that due to the lack of flexibility regarding this SAITM issue, some day students might become more aggressive and take up weapons? �There is a separate investigation being done by the CID. There is a newly passed act which spells how to deal with people circulating rumors that can cause turmoil in the country. Such culprits will have to undergo a 10-year imprisonment. This is also not a bailable offence.�""The Ministry of Health can�t stop the increase of Dengue. The Ministry of Health can cure Dengue patients""�Then what is the clear stance and decision taken by the government in this regard? �The stance taken by the Cabinet of ministers is clear and has been conveyed.Champika and Dayasiri are against SAITM despite the Cabinet of Ministers having decided about the future of this institute. Does this indicate that the government is split on this issue?� �They didn�t say anything regarding SAITM at the Cabinet meeting. Something has to be said in this regard for comments to be made public. It is Minister Champika who said not to hold any more meetings with the GMOA.� �You are also a doctor. You are fighting against the doctors. Will these clashes effect your profession? �Only the doctors are clashing with me. Others are supporting me. Did you see that numbers representing unions that gathered around the ministry premises?� �You have said that only three or four members have offered opposition and that the others are with you. Then why can�t you settle this problem? �True. There are many members. They were present even on 8th of January, 2015. They are threatened by the GMOA which now operates like a mafia. It�s they (GMOA) which does the transfers and appointments according to their wishes. I will put a complete stop to it.� �Can four or five people initiate a in the hospital? �The union meetings are attended only a few people. As much as 98% will not participate. As a result ultimate decisions are taken by only a few people. We have a tradition of agreeing with these decisions. Now the majority of the members have understood that this is all political work. Now they (the majority) are organizing unions in every province with the view of airing a different voice. I am the person who stopped that. Now I understand that the majority will go separately given the prevailing situation.� ��""An issue regarding quality has never arisen during my tenure in office. Now it is OK. I should be thanked""�Your detractors claim that you are in favour SAITM because of your daughter in law?� ��Not only my daughter in law. There are other relations in this institute too. Anura Kumara Dissanayake�s son is also in the SLIT. The sister of Lahiru from Antaray also there. Given this background what can we do? �Now you have no problem. But you had a problem when the first private medical college commenced. Is this correct? �My cousin brother was enrolled there during that time. I protested against that. I highlighted only two facts. One is not to recruit unqualified persons. The second is not to have the degree on par with Colombo. We had no problem regarding private medical colleges. We are trying to correct them.� �Their problem is about the quality of the degree. The absence of justice with regard to this has given rise to a problem.� �We accept the issue regarding quality. They broke into the ministry on the day we wanted to offer the quality certificate. The Medical Council was to give me the quality certificate on that day. An issue regarding quality has never arisen during my tenure in office. Now it is OK. I should be thanked.� �Now people say SAITM should be acquired. But the government has acquired the Nevil Fernando Hospital. What is the use of acquiring a white elephant? �They say various things. Earlier they said they are fighting to ensure quality. Now they say we must abolish SAITM. They knew that we will ensure quality. Investors won�t come to the country if things are happening in this manner. Premadasa did a foolish thing. GMOA and Dentist Unions didn�t make a request to nationalize Medical College. It was the JVP that made this request. Premadasa had a personal grudge with the private doctor of J.R.Jayewardene. This was because the doctor didn�t acknowledge Premadasa�s presence. As a result, Premadasa acquired the Medical College. At present the second such institute is going to be nationalized. Will investors come to the country now? Then what will happen is that students will go abroad. As a result our money will also go abroad. Is that correct now? No one is talking ill about this aspect of the problem. �Now Nevil Fernando has also opposed your decision. He says that the hospital cannot be acquired? �Will this man agree to our proposals? But we are a government. When we take decisions we can�t please everybody.����""Only the doctors are clashing with me. Others are supporting me. ""�During the recent commotion that took place, university students were assaulted and government property was severely damaged. You could have stopped their arrival?I was worried about properties and government servants. It was only after I informed about the incident that the top brass police officials came to know about this. If a protest is staged by the university students, the first thing the police should do is to go either to the Ministry of Higher Education, my Ministry, President�s Office or Prime Minister�s Office. What the police did was arrive and passively watch. That is all. Police didn�t do anything till the Colombo DIG came. The police hadn�t taken any steps to prevent the students from breaking the iron gates.� Protecting property is the duty of the police. This could have been stopped on the orders of the STF Commandant. I did this after consulting Sagala. I thank the entire staff of the ministry as they didn�t abandon the ministry at any given time. Some thugs who were present assaulted people, not even sparing fathers.� �Those present were university students. They came there with the view of finding solutions to SAITM. But your people developed the situation into a fight. �Medical students didn�t do this work. Only two or three students would have been involved. How many monks were at the scene? Are they from from Medical College? Students in other faculties were shouting. We understand their intentions as well.� �If we talk about politics, why can�t they go back on the promise which was given by the constitution? �All along constitutions were formed without the mandate of the people. This is the first time we are going to do this. Committees appointed to form constitutions went to various places and took the opinion of the people. It will take more time to change this constitution. We are not taking these decisions forcibly. Even Sampanthan has said no devolution of power can be made without the approval of the Sinhala People. ��""The police hadn�t taken any steps to prevent the students from breaking the iron gates. Protecting property is the duty of the police""�The Sri Lanka Freedom Party opposed some of the proposals in the constitutional committee. Do you think this will� have a negative impact when the constitution needs approving? �Various ideas surface because there are lots of people. Clashes also arise. That is the nature. Most of them say it is like a pot of conjee (herbal porridge). But we will reach our targets.� �The Executive premiership was proposed suddenly. Why is that?� �No. Various ideas were proposed. Some wanted to abolish the executive. Some said to reduce power. There were many proposals. All should come under the Prime Minister. This is the main target. �It is reported that the dengue menace developed during your tenure in office. Isn�t the responsibility yours?.The Malaria menace was completely suppressed during my tenure in office, hence credit should come to me. It is very difficult to control these things within one or two years. Such diseases increase not only in Sri Lanka, but in other countries as well. The reason behind this disease is unnatural weather. This is not Malaria. Suppression of Malaria belongs to the Ministry of Health. But these mosquitoes are living in houses. Malaria has increased in difficult areas. Dengue has increased in urban areas. That is the difference between these two menaces. The Ministry of Health can�t stop the increase of Dengue. The Ministry of Health can cure Dengue patients. Last year we lost 1% and this year it came down to 0.3%. ��""All along constitutions were formed without the mandate of the people. This is the first time we are going to do this. ""�You will be angered when we raise this question. Your activities are similar to the previous Government. You shout more as a person. You are the person who sticks your neck in all government problems? �I don�t know about that. Yes I have stuck my neck in problems faced by every government. I am talking on behalf of leaders. I am talking on behalf of governments too. I do things keeping in mind my own theme. I�m not airing views outside of the Cabinet. I present my theme to the Cabinet. Some people don�t like this. I always protect the government. We must always see who istalking against the government and who is coming to power next if the government fails.That won�t be the JVP. We know Rajapakshas are coming to power. Why should we appoint the Rajapakshas again? �Is it because of your straightforwardness that you have not allowed the secretary appointed by the president� to assume the duties?� �That issue wasn�t regarding that Secretary. That secretary is scheduled to retire in February next year. As a result he gets his leave from November. It is very difficult to run the Ministry of Health like this. That is why I said to appoint a secretary who has at least one more year to serve in the Ministry.���",dengue
'Turning blind eye on burning issues': Govt. only keen on new Constitution: JO,"2017-07-06 22:50:26							4						 				3094","The government is keen on making amendments to the Constitution despite many other burning issues in the country including the dengue epidemic, garbage issues and the economic crisis, the joint opposition alleged today.Joint opposition member Rohitha Abeygunawardana told a news conference that the government attempting to fulfil promises made during the pre-election period to several parties by making amendments to the Constitution.�These amendments will lead the state to federalism. Even the Mahanayaka Theras of the three Nikayas and other Sangha Sabhas have unanimously decided there was no need to bring in a new Constitution or an Amendment to the Constitution,� the MP added.He said the government was continuing a silence policy with regard to the burning issues of the country. He also said this government would not be able to persist in such a manner for a longtime.Meanwhile, MP Abeygunawardana said the government was trying to suppress the media and journalists by introducing new Acts to prevent them from exposing the truth.He said a group of non-governmental organizations (NGO) were in process of making rules and regulations to establish an Act on media institutes and journalists and alleged that it would result in imprisonment of journalists; �The government is attempting to continue its procedure in a deceitful manner,� he added. (Kalathma Jayawardhane)",dengue
Newly introduced larva getting used to urban areas,"2017-07-06 06:19:20							5						 				9416","A newly introduced larvae to control dengue has been released to the environment and they are getting used to the urban areas, Director of the Entomology and Parasitology Unit of the Medical Research Institute (MRI) Dr. Sagarika Samarasinghe told Daily Mirror yesterday.She said, this larva called Toxorhynchites splendens was identified in 1911 in the world and used by different countries to control the spread of dengue with different success rates.""The group headed by me started establishing the Toxorhynchites splendens colony in 2016. This is a tough research and therefore we can�t do it overnight. We have released these larvae to the environment several times without publicizing it, and this is the end result of the hard work and research conducted at the Medical Research Institute (MRI),"" the doctor said.Toxorhynchites splendens is about 19mm long and has a bluish-white metallic colour with a lifespan of 3 months. They mainly suck honey and plant juice. These larvae do not suck blood as their Proboscis has bent 90 degrees backwards. Therefore, no harm would be caused to humans. Their larva stage lasts for 5 weeks and this may exceed in cold climates.These species are much bigger than the ordinary mosquitoes and are also called ""elephant mosquito"" or ""mosquito eater"". It is crucial to mention that these larvae are not herbivorous but carnivorous. These mosquitoes lay their eggs while flying. Hence, they can lay their eggs in places where we cannot reach and can consume dengue larvae in the hidden places,"" she said.Dr. Samarasinghe categorically emphasized not to depend on this method alone as it will not be sufficient to wholly eliminate the dengue (Sheain Fernandopulle)",dengue
